label,isCode,wordsLen,ZeroLen,OneLen,WordsWithSameSizeLen,TotalWordsSize,TotalDiffRatio,TotalDistancedeLevenshtein,TotalSimilarityendstart,isLongueurFixe,one,two,three,four,five,six,seven,eight,nine,ten,coloneLen,coltwoLen,colthreeLen,colfourLen,colfiveLen,colsixLen,colsevenLen,coleightLen,colnineLen,coltenLen
"['11000', '00110', '01101', '11111', '11101', '10111', '00100']",1,7,14,21,7,35,12.2,51,61,1,24,6,13,31,29,23,4,0,0,0,5,5,5,5,5,5,5,0,0,0
"['0011', '0001', '1100', '1010', '0010', '1110', '0111', '0101', '1011']",1,9,17,19,9,36,21.75,74,97,1,3,1,12,10,2,14,7,5,11,0,4,4,4,4,4,4,4,4,4,0
"['0011', '0010', '1101', '0110', '1001', '0101']",1,6,12,12,6,24,10.5,29,35,1,3,2,13,6,9,5,0,0,0,0,4,4,4,4,4,4,0,0,0,0
"['1100', '1010', '0010', '1111', '0111', '1000']",1,6,11,13,6,24,8.25,33,41,1,12,10,2,15,7,8,0,0,0,0,4,4,4,4,4,4,0,0,0,0
"['00110', '01100', '10000', '10010', '11111', '11101', '01001', '00100']",1,8,21,19,8,40,16.8,69,72,1,6,12,16,18,31,29,9,4,0,0,5,5,5,5,5,5,5,5,0,0
"['11000', '01011', '11011', '00011', '01000', '11010']",1,6,15,15,6,30,9.4,31,59,1,24,11,27,3,8,26,0,0,0,0,5,5,5,5,5,5,0,0,0,0
"['00110', '01101', '10010', '00010', '01011', '11111', '11101', '01000', '11100', '10000']",1,10,25,25,10,50,26.2,114,128,1,6,13,18,2,11,31,29,8,28,16,5,5,5,5,5,5,5,5,5,5
"['000101', '001101', '001011', '110000']",1,4,14,10,4,24,4.166666666666667,19,23,1,5,13,11,48,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0
"['101101', '110001', '100000']",1,3,10,8,3,18,1.8333333333333333,8,10,1,45,49,32,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0
"['010001', '110100', '110000', '100111']",1,4,13,11,4,24,3.833333333333333,16,17,1,17,52,48,39,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0
"['000100', '110110', '110010', '101110', '101111', '010000', '010010', '111101', '001111', '101011']",1,10,27,33,10,60,27.166666666666668,128,134,1,4,54,50,46,47,16,18,61,15,43,6,6,6,6,6,6,6,6,6,6
"['01101', '11001', '00111', '11101', '10101', '10111', '00101', '11100', '10011']",1,9,17,28,9,45,24.8,75,141,1,13,25,7,29,21,23,5,28,19,0,5,5,5,5,5,5,5,5,5,0
"['0000111', '0010100', '0001001', '1001000', '1001110', '0101011', '1011101', '0011101', '0111010', '0010001']",1,10,38,32,10,70,30.857142857142858,130,134,1,7,20,9,72,78,43,93,29,58,17,7,7,7,7,7,7,7,7,7,7
"['0011', '1100', '1010', '0010', '1101', '1000', '0101', '1011']",1,8,16,16,8,32,18.0,56,77,1,3,12,10,2,13,8,5,11,0,0,4,4,4,4,4,4,4,4,0,0
"['01110', '10010', '01111', '00101', '00100']",1,5,13,12,5,25,6.4,23,30,1,14,18,15,5,4,0,0,0,0,0,5,5,5,5,5,0,0,0,0,0
"['1100', '1010', '0010', '0110', '0111', '1011']",1,6,11,13,6,24,9.5,30,40,1,12,10,2,6,7,11,0,0,0,0,4,4,4,4,4,4,0,0,0,0
"['0111110', '0011000', '1101111', '0100100', '0011010', '1010110', '0111100', '1010101', '1111001']",1,9,28,35,9,63,23.142857142857142,111,100,1,62,24,111,36,26,86,60,85,121,0,7,7,7,7,7,7,7,7,7,0
"['0001', '1100', '1101', '0110', '1111', '0100', '0111', '1000']",1,8,15,17,8,32,16.0,58,77,1,1,12,13,6,15,4,7,8,0,0,4,4,4,4,4,4,4,4,0,0
"['011010', '101000', '111101']",1,3,8,10,3,18,1.8333333333333333,9,4,1,26,40,61,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0
"['000111', '010011', '100101']",1,3,9,9,3,18,2.3333333333333335,6,7,1,7,19,37,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0
"['10110', '10010', '11101', '10100', '00111']",1,5,11,14,5,25,6.2,22,28,1,22,18,29,20,7,0,0,0,0,0,5,5,5,5,5,0,0,0,0,0
"['001101', '010011', '011010', '100111']",1,4,11,13,4,24,4.333333333333333,15,12,1,13,19,26,39,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0
"['1100', '1010', '0010', '1101', '0110', '1111', '0111', '1000']",1,8,14,18,8,32,16.75,57,74,1,12,10,2,13,6,15,7,8,0,0,4,4,4,4,4,4,4,4,0,0
"['00110', '00111', '01001', '00101', '01000', '10011']",1,6,17,13,6,30,10.6,34,43,1,6,7,9,5,8,19,0,0,0,0,5,5,5,5,5,5,0,0,0,0
"['011111', '011100', '111100', '000000', '111001', '001010', '000110', '111101', '001101']",1,9,26,28,9,54,21.833333333333332,102,121,1,31,28,60,0,57,10,6,61,13,0,6,6,6,6,6,6,6,6,6,0
"['0011011', '1110111', '0011100']",1,3,8,13,3,21,2.0,11,10,1,27,119,28,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0
"['010110', '010101', '011111', '010100', '000011', '001110']",1,6,18,18,6,36,9.833333333333334,37,55,1,22,21,31,20,3,14,0,0,0,0,6,6,6,6,6,6,0,0,0,0
"['01101', '01100', '00011', '11110', '00101', '11100', '01110']",1,7,16,19,7,35,13.6,50,68,1,13,12,3,30,5,28,14,0,0,0,5,5,5,5,5,5,5,0,0,0
"['10110', '00111', '00100', '01111', '11011', '00011', '01010', '11110', '10000']",1,9,21,24,9,45,21.0,90,106,1,22,7,4,15,27,3,10,30,16,0,5,5,5,5,5,5,5,5,5,0
"['011001', '100110', '110011', '100111']",1,4,10,14,4,24,4.666666666666667,15,20,1,25,38,51,39,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0
"['1011110', '1001000', '1110001', '0100101', '0010001']",1,5,19,16,5,35,6.571428571428571,31,28,1,94,72,113,37,17,0,0,0,0,0,7,7,7,7,7,0,0,0,0,0
"['0001', '1100', '0100', '0110']",1,4,10,6,4,16,3.75,12,19,1,1,12,4,6,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0
"['111010', '001100', '000001', '111001']",1,4,13,11,4,24,3.5,19,17,1,58,12,1,57,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0
"['0101000', '0010011', '1011111', '1011011', '1000100', '0111100', '1110000', '0100010']",1,8,29,27,8,56,17.285714285714285,96,81,1,40,19,95,91,68,60,112,34,0,0,7,7,7,7,7,7,7,7,0,0
"['1000101', '1011001', '0110001', '1000010', '0010111']",1,5,19,16,5,35,6.857142857142857,30,31,1,69,89,49,66,23,0,0,0,0,0,7,7,7,7,7,0,0,0,0,0
"['00111', '10010', '11111', '01111', '10111', '10101', '01000', '01110']",1,8,15,25,8,40,17.0,65,84,1,7,18,31,15,23,21,8,14,0,0,5,5,5,5,5,5,5,5,0,0
"['00111', '11101', '00000', '00011', '10100', '11010']",1,6,16,14,6,30,7.6000000000000005,42,46,1,7,29,0,3,20,26,0,0,0,0,5,5,5,5,5,5,0,0,0,0
"['0110', '1100', '0011', '1101']",1,4,7,9,4,16,4.0,14,15,1,6,12,3,13,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0
"['1001001', '0011000', '1000011', '1101111', '0010101', '0000011', '0100010']",1,7,28,21,7,49,13.142857142857142,67,57,1,73,24,67,111,21,3,34,0,0,0,7,7,7,7,7,7,7,0,0,0
"['011001', '011111', '110001', '101100', '010100', '001100', '110101', '111010']",1,8,22,26,8,48,19.333333333333332,73,78,1,25,31,49,44,20,12,53,58,0,0,6,6,6,6,6,6,6,6,0,0
"['1111110', '0100110', '1001101', '1010000', '0101100']",1,5,17,18,5,35,6.428571428571429,31,24,1,126,38,77,80,44,0,0,0,0,0,7,7,7,7,7,0,0,0,0,0
"['011101', '000101', '001100']",1,3,10,8,3,18,2.0,6,10,1,29,5,12,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0
"['0001', '1100', '1010', '1101', '1111', '1001', '1000', '0101', '0111']",1,9,16,20,9,36,21.75,71,107,1,1,12,10,13,15,9,8,5,7,0,4,4,4,4,4,4,4,4,4,0
"['0011', '1100', '0100', '0111', '1011']",1,5,9,11,5,20,6.0,23,30,1,3,12,4,7,11,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0
"['0011', '0001', '1100', '1101', '1111', '0100', '0111', '1000', '0101', '1011']",1,10,18,22,10,40,26.0,92,135,1,3,1,12,13,15,4,7,8,5,11,4,4,4,4,4,4,4,4,4,4
"['01011', '11100', '10100', '11010']",1,4,9,11,4,20,4.0,14,17,1,11,28,20,26,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0
"['00110', '11000', '11111', '00000', '10001', '11100', '10100', '10000']",1,8,23,17,8,40,15.8,66,92,1,6,24,31,0,17,28,20,16,0,0,5,5,5,5,5,5,5,5,0,0
"['0101001', '1010111', '1011000', '1001010', '0001111']",1,5,17,18,5,35,6.142857142857142,33,28,1,41,87,88,74,15,0,0,0,0,0,7,7,7,7,7,0,0,0,0,0
"['10110', '11010', '00010', '10010', '01011', '00111']",1,6,15,15,6,30,10.0,31,45,1,22,26,2,18,11,7,0,0,0,0,5,5,5,5,5,5,0,0,0,0
"['1000011', '1010111', '1001110']",1,3,9,12,3,21,2.2857142857142856,7,13,1,67,87,78,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0
"['000100', '100001', '000010', '111010', '100100']",1,5,20,10,5,30,6.833333333333333,27,31,1,4,33,2,58,36,0,0,0,0,0,6,6,6,6,6,0,0,0,0,0
"['011001', '110100', '010011', '010111', '110011', '100000']",1,6,18,18,6,36,9.5,42,48,1,25,52,19,23,51,32,0,0,0,0,6,6,6,6,6,6,0,0,0,0
"['01100', '00010', '10010', '11111', '01111', '10111', '01001', '11100']",1,8,17,23,8,40,16.4,71,85,1,12,2,18,31,15,23,9,28,0,0,5,5,5,5,5,5,5,5,0,0
"['0110100', '0111110', '1101110', '0111000']",1,4,12,16,4,28,4.428571428571429,15,29,1,52,62,110,56,0,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0
"['00101', '10011', '01010', '00100']",1,4,12,8,4,20,4.4,13,14,1,5,19,10,4,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0
"['00110', '10000', '00010', '10111', '00011', '11110', '11100', '10100', '11010']",1,9,23,22,9,45,21.0,87,115,1,6,16,2,23,3,30,28,20,26,0,5,5,5,5,5,5,5,5,5,0
"['01100', '00101', '01010', '10000']",1,4,13,7,4,20,4.0,15,18,1,12,5,10,16,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0
"['00110', '01110', '01011', '01111', '00011', '00001', '11100', '10100', '11010']",1,9,22,23,9,45,21.0,92,107,1,6,14,11,15,3,1,28,20,26,0,5,5,5,5,5,5,5,5,5,0
"['0111110', '0100000', '0001110', '1110111', '1011001', '0111001', '0001010', '1000010', '0101100']",1,9,33,30,9,63,22.428571428571427,116,107,1,62,32,14,119,89,57,10,66,44,0,7,7,7,7,7,7,7,7,7,0
"['0011', '1010', '1111', '1000', '0101', '1011']",1,6,10,14,6,24,8.75,29,43,1,3,10,15,8,5,11,0,0,0,0,4,4,4,4,4,4,0,0,0,0
"['100111', '110001', '111100', '010011', '010111', '000001', '001110', '100010']",1,8,24,24,8,48,17.333333333333332,84,79,1,39,49,60,19,23,1,14,34,0,0,6,6,6,6,6,6,6,6,0,0
"['000100', '010101', '011111', '110111', '001001', '011110', '010111', '101011']",1,8,20,28,8,48,18.0,70,80,1,4,21,31,55,9,30,23,43,0,0,6,6,6,6,6,6,6,6,0,0
"['1111100', '1000101', '0100011', '0001111', '0111010']",1,5,16,19,5,35,6.142857142857142,37,25,1,124,69,35,15,58,0,0,0,0,0,7,7,7,7,7,0,0,0,0,0
"['11001', '01100', '00001', '10000', '11111', '01111', '11011', '10111', '10001', '10011']",1,10,21,29,10,50,26.6,106,167,1,25,12,1,16,31,15,27,23,17,19,5,5,5,5,5,5,5,5,5,5
"['0000', '1001', '0011', '1100', '0110', '0100', '0111']",1,7,16,12,7,28,12.5,44,59,1,0,9,3,12,6,4,7,0,0,0,4,4,4,4,4,4,4,0,0,0
"['0010100', '1000011', '0000011', '1100111', '1101101', '0101111', '0111011', '0111100', '0001010', '1100000']",1,10,35,35,10,70,27.142857142857142,156,147,1,20,67,3,103,109,47,59,60,10,96,7,7,7,7,7,7,7,7,7,7
"['11000', '01111', '10111', '11110', '00101', '00100']",1,6,13,17,6,30,8.2,41,45,1,24,15,23,30,5,4,0,0,0,0,5,5,5,5,5,5,0,0,0,0
"['1111101', '0100000', '0011000', '0000110', '0100111', '0010101', '0111100', '0110100']",1,8,31,25,8,56,16.857142857142858,88,105,1,125,32,24,6,39,21,60,52,0,0,7,7,7,7,7,7,7,7,0,0
"['1111101', '0000010', '1111100', '1101111', '0100011', '0011100', '0001010', '0100001', '1100010']",1,9,32,31,9,63,20.428571428571427,127,117,1,125,2,124,111,35,28,10,33,98,0,7,7,7,7,7,7,7,7,7,0
"['110110', '000010', '101010', '101100', '100000', '111011', '001101']",1,7,22,20,7,42,12.5,57,58,1,54,2,42,44,32,59,13,0,0,0,6,6,6,6,6,6,6,0,0,0
"['0001', '0101', '0110']",1,3,7,5,3,12,1.75,6,8,1,1,5,6,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0
"['11000', '11001', '01100', '01011', '01000', '10111', '11110', '01001', '00111']",1,9,21,24,9,45,22.2,89,110,1,24,25,12,11,8,23,30,9,7,0,5,5,5,5,5,5,5,5,5,0
"['010100', '101000', '100010']",1,3,12,6,3,18,2.0,7,8,1,20,40,34,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0
"['01101', '10011', '11001', '10111', '01010', '00000', '11010']",1,7,17,18,7,35,13.0,52,51,1,13,19,25,23,10,0,26,0,0,0,5,5,5,5,5,5,5,0,0,0
"['1010111', '0011011', '0000110', '0001001', '1001010', '0001111', '1101111', '0100111', '1000110']",1,9,30,33,9,63,24.857142857142858,98,114,1,87,27,6,9,74,15,111,39,70,0,7,7,7,7,7,7,7,7,7,0
"['1111', '0101', '1100', '0000']",1,4,8,8,4,16,2.5,14,14,1,15,5,12,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0
"['1111101', '0001011', '0100011', '1100111', '0111001', '0110000', '1111001', '0101010', '1101001']",1,9,28,35,9,63,23.142857142857142,109,120,1,125,11,35,103,57,48,121,42,105,0,7,7,7,7,7,7,7,7,7,0
"['0011', '1100', '1010', '0110', '1111', '1000', '0101']",1,7,13,15,7,28,12.25,46,51,1,3,12,10,6,15,8,5,0,0,0,4,4,4,4,4,4,4,0,0,0
"['1001001', '0011100', '1000010', '1100001', '0110100']",1,5,21,14,5,35,6.714285714285714,31,23,1,73,28,66,97,52,0,0,0,0,0,7,7,7,7,7,0,0,0,0,0
"['111000', '100111', '110001', '001010', '000111', '000101', '110111', '011000', '101110', '010100']",1,10,30,30,10,60,28.666666666666668,134,137,1,56,39,49,10,7,5,55,24,46,20,6,6,6,6,6,6,6,6,6,6
"['00110', '00010', '10010', '10100', '00100']",1,5,17,8,5,25,7.2,17,44,1,6,2,18,20,4,0,0,0,0,0,5,5,5,5,5,0,0,0,0,0
"['1000001', '1001001', '1011000', '1011011', '1101111', '1111111', '0110100']",1,7,20,29,7,49,12.142857142857142,62,77,1,65,73,88,91,111,127,52,0,0,0,7,7,7,7,7,7,7,0,0,0
"['1111', '0011', '1011', '1101']",1,4,4,12,4,16,3.75,10,28,1,15,3,11,13,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0
"['0101010', '1001110', '0000000', '1101001']",1,4,17,11,4,28,3.142857142857143,21,11,1,42,78,0,105,0,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0
"['00110', '00100', '11000', '11001']",1,4,12,8,4,20,4.0,16,19,1,6,4,24,25,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0
"['0000', '0001', '0010', '0111', '1000', '0101', '1011']",1,7,17,11,7,28,12.25,42,58,1,0,1,2,7,8,5,11,0,0,0,4,4,4,4,4,4,4,0,0,0
"['1010', '1101', '1110', '1001', '0111']",1,5,7,13,5,20,6.5,21,29,1,10,13,14,9,7,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0
"['01101', '11100', '01010', '11001']",1,4,9,11,4,20,4.0,14,13,1,13,28,10,25,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0
"['0001', '1010', '0010', '1101', '0110', '0100', '1001', '0111']",1,8,17,15,8,32,17.75,56,69,1,1,10,2,13,6,4,9,7,0,0,4,4,4,4,4,4,4,4,0,0
"['0000', '0001', '1010', '1101', '1111', '0111', '1000', '1011']",1,8,15,17,8,32,14.75,60,82,1,0,1,10,13,15,7,8,11,0,0,4,4,4,4,4,4,4,4,0,0
"['011011', '110001', '011010', '111110', '000101', '101000']",1,6,17,19,6,36,8.833333333333334,46,39,1,27,49,26,62,5,40,0,0,0,0,6,6,6,6,6,6,0,0,0,0
"['101101', '110010', '101010', '000000', '111001', '100011', '001100', '101111', '010010']",1,9,28,26,9,54,22.5,100,96,1,45,50,42,0,57,35,12,47,18,0,6,6,6,6,6,6,6,6,6,0
"['01101', '10010', '10101', '00000', '10111', '11110', '00101', '00100']",1,8,21,19,8,40,16.4,64,76,1,13,18,21,0,23,30,5,4,0,0,5,5,5,5,5,5,5,5,0,0
"['011101', '010111', '101110', '101101']",1,4,8,16,4,24,4.833333333333334,12,19,1,29,23,46,45,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0
"['0000', '0011', '0001', '1101', '1001', '1000', '0101', '0111', '1011']",1,9,19,17,9,36,21.75,69,106,1,0,3,1,13,9,8,5,7,11,0,4,4,4,4,4,4,4,4,4,0
"['1011010', '0110100', '1111110', '0110001']",1,4,12,16,4,28,3.8571428571428568,17,16,1,90,52,126,49,0,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0
"['000100', '010110', '011111', '011100', '100000', '001101']",1,6,20,16,6,36,8.666666666666666,42,52,1,4,22,31,28,32,13,0,0,0,0,6,6,6,6,6,6,0,0,0,0
"['1011100', '1011111', '1111110', '0100011', '1000101', '1101110', '0110000', '0010111']",1,8,23,33,8,56,17.142857142857142,93,82,1,92,95,126,35,69,110,48,23,0,0,7,7,7,7,7,7,7,7,0,0
"['0001', '1000', '0101', '1011']",1,4,9,7,4,16,3.5,12,16,1,1,8,5,11,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0
"['100001', '010111', '110010']",1,3,9,9,3,18,1.6666666666666665,10,7,1,33,23,50,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0
"['1001', '1111', '1110', '1010']",1,4,5,11,4,16,3.5,11,20,1,9,15,14,10,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0
"['1100', '1010', '1110', '0100', '1001', '0101', '1011']",1,7,13,15,7,28,13.75,40,53,1,12,10,14,4,9,5,11,0,0,0,4,4,4,4,4,4,4,0,0,0
"['0000', '0001', '1111', '1001', '1000', '0101']",1,6,14,10,6,24,8.0,30,44,1,0,1,15,9,8,5,0,0,0,0,4,4,4,4,4,4,0,0,0,0
"['0111', '1110', '1101']",1,3,3,9,3,12,2.0,6,10,1,7,14,13,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0
"['011110', '001001', '010100', '111010', '001111', '101011']",1,6,16,20,6,36,9.666666666666666,41,38,1,30,9,20,58,15,43,0,0,0,0,6,6,6,6,6,6,0,0,0,0
"['011011', '100001', '101100', '110000']",1,4,13,11,4,24,3.5,19,15,1,27,33,44,48,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0
