label,isCode,wordsLen,ZeroLen,OneLen,TotalWordsSize,TotalDiffRatio,TotalDistancedeLevenshtein,TotalSimilarityendstart,isLongueurFixe,kraftMcMilanSatisfied,WordsWithSameSizeLen
"['11000', '00110', '01101', '11111', '11101', '10111', '00100']",1,7,14,21,35,12.2,51,61,1,1,7
"['0011', '0001', '1100', '1010', '0010', '1110', '0111', '0101', '1011']",1,9,17,19,36,21.75,74,97,1,1,9
"['0011', '0010', '1101', '0110', '1001', '0101']",1,6,12,12,24,10.5,29,35,1,1,6
"['1100', '1010', '0010', '1111', '0111', '1000']",1,6,11,13,24,8.25,33,41,1,1,6
"['00110', '01100', '10000', '10010', '11111', '11101', '01001', '00100']",1,8,21,19,40,16.8,69,72,1,1,8
"['11000', '01011', '11011', '00011', '01000', '11010']",1,6,15,15,30,9.4,31,59,1,1,6
"['00110', '01101', '10010', '00010', '01011', '11111', '11101', '01000', '11100', '10000']",1,10,25,25,50,26.2,114,128,1,1,10
"['000101', '001101', '001011', '110000']",1,4,14,10,24,4.166666666666667,19,23,1,1,4
"['101101', '110001', '100000']",1,3,10,8,18,1.8333333333333333,8,10,1,1,3
"['010001', '110100', '110000', '100111']",1,4,13,11,24,3.833333333333333,16,17,1,1,4
"['000100', '110110', '110010', '101110', '101111', '010000', '010010', '111101', '001111', '101011']",1,10,27,33,60,27.166666666666668,128,134,1,1,10
"['01101', '11001', '00111', '11101', '10101', '10111', '00101', '11100', '10011']",1,9,17,28,45,24.8,75,141,1,1,9
"['0000111', '0010100', '0001001', '1001000', '1001110', '0101011', '1011101', '0011101', '0111010', '0010001']",1,10,38,32,70,30.857142857142858,130,134,1,1,10
"['0011', '1100', '1010', '0010', '1101', '1000', '0101', '1011']",1,8,16,16,32,18.0,56,77,1,1,8
"['01110', '10010', '01111', '00101', '00100']",1,5,13,12,25,6.4,23,30,1,1,5
"['1100', '1010', '0010', '0110', '0111', '1011']",1,6,11,13,24,9.5,30,40,1,1,6
"['0111110', '0011000', '1101111', '0100100', '0011010', '1010110', '0111100', '1010101', '1111001']",1,9,28,35,63,23.142857142857142,111,100,1,1,9
"['0001', '1100', '1101', '0110', '1111', '0100', '0111', '1000']",1,8,15,17,32,16.0,58,77,1,1,8
"['011010', '101000', '111101']",1,3,8,10,18,1.8333333333333333,9,4,1,1,3
"['000111', '010011', '100101']",1,3,9,9,18,2.3333333333333335,6,7,1,1,3
"['10110', '10010', '11101', '10100', '00111']",1,5,11,14,25,6.2,22,28,1,1,5
"['001101', '010011', '011010', '100111']",1,4,11,13,24,4.333333333333333,15,12,1,1,4
"['1100', '1010', '0010', '1101', '0110', '1111', '0111', '1000']",1,8,14,18,32,16.75,57,74,1,1,8
"['00110', '00111', '01001', '00101', '01000', '10011']",1,6,17,13,30,10.6,34,43,1,1,6
"['011111', '011100', '111100', '000000', '111001', '001010', '000110', '111101', '001101']",1,9,26,28,54,21.833333333333332,102,121,1,1,9
"['0011011', '1110111', '0011100']",1,3,8,13,21,2.0,11,10,1,1,3
"['010110', '010101', '011111', '010100', '000011', '001110']",1,6,18,18,36,9.833333333333334,37,55,1,1,6
"['01101', '01100', '00011', '11110', '00101', '11100', '01110']",1,7,16,19,35,13.6,50,68,1,1,7
"['10110', '00111', '00100', '01111', '11011', '00011', '01010', '11110', '10000']",1,9,21,24,45,21.0,90,106,1,1,9
"['011001', '100110', '110011', '100111']",1,4,10,14,24,4.666666666666667,15,20,1,1,4
"['1011110', '1001000', '1110001', '0100101', '0010001']",1,5,19,16,35,6.571428571428571,31,28,1,1,5
"['0001', '1100', '0100', '0110']",1,4,10,6,16,3.75,12,19,1,1,4
"['111010', '001100', '000001', '111001']",1,4,13,11,24,3.5,19,17,1,1,4
"['0101000', '0010011', '1011111', '1011011', '1000100', '0111100', '1110000', '0100010']",1,8,29,27,56,17.285714285714285,96,81,1,1,8
"['1000101', '1011001', '0110001', '1000010', '0010111']",1,5,19,16,35,6.857142857142857,30,31,1,1,5
"['00111', '10010', '11111', '01111', '10111', '10101', '01000', '01110']",1,8,15,25,40,17.0,65,84,1,1,8
"['00111', '11101', '00000', '00011', '10100', '11010']",1,6,16,14,30,7.6000000000000005,42,46,1,1,6
"['0110', '1100', '0011', '1101']",1,4,7,9,16,4.0,14,15,1,1,4
"['1001001', '0011000', '1000011', '1101111', '0010101', '0000011', '0100010']",1,7,28,21,49,13.142857142857142,67,57,1,1,7
"['011001', '011111', '110001', '101100', '010100', '001100', '110101', '111010']",1,8,22,26,48,19.333333333333332,73,78,1,1,8
"['1111110', '0100110', '1001101', '1010000', '0101100']",1,5,17,18,35,6.428571428571429,31,24,1,1,5
"['011101', '000101', '001100']",1,3,10,8,18,2.0,6,10,1,1,3
"['0001', '1100', '1010', '1101', '1111', '1001', '1000', '0101', '0111']",1,9,16,20,36,21.75,71,107,1,1,9
"['0011', '1100', '0100', '0111', '1011']",1,5,9,11,20,6.0,23,30,1,1,5
"['0011', '0001', '1100', '1101', '1111', '0100', '0111', '1000', '0101', '1011']",1,10,18,22,40,26.0,92,135,1,1,10
"['01011', '11100', '10100', '11010']",1,4,9,11,20,4.0,14,17,1,1,4
"['00110', '11000', '11111', '00000', '10001', '11100', '10100', '10000']",1,8,23,17,40,15.8,66,92,1,1,8
"['0101001', '1010111', '1011000', '1001010', '0001111']",1,5,17,18,35,6.142857142857142,33,28,1,1,5
"['10110', '11010', '00010', '10010', '01011', '00111']",1,6,15,15,30,10.0,31,45,1,1,6
"['1000011', '1010111', '1001110']",1,3,9,12,21,2.2857142857142856,7,13,1,1,3
"['000100', '100001', '000010', '111010', '100100']",1,5,20,10,30,6.833333333333333,27,31,1,1,5
"['011001', '110100', '010011', '010111', '110011', '100000']",1,6,18,18,36,9.5,42,48,1,1,6
"['01100', '00010', '10010', '11111', '01111', '10111', '01001', '11100']",1,8,17,23,40,16.4,71,85,1,1,8
"['0110100', '0111110', '1101110', '0111000']",1,4,12,16,28,4.428571428571429,15,29,1,1,4
"['00101', '10011', '01010', '00100']",1,4,12,8,20,4.4,13,14,1,1,4
"['00110', '10000', '00010', '10111', '00011', '11110', '11100', '10100', '11010']",1,9,23,22,45,21.0,87,115,1,1,9
"['01100', '00101', '01010', '10000']",1,4,13,7,20,4.0,15,18,1,1,4
"['00110', '01110', '01011', '01111', '00011', '00001', '11100', '10100', '11010']",1,9,22,23,45,21.0,92,107,1,1,9
"['0111110', '0100000', '0001110', '1110111', '1011001', '0111001', '0001010', '1000010', '0101100']",1,9,33,30,63,22.428571428571427,116,107,1,1,9
"['0011', '1010', '1111', '1000', '0101', '1011']",1,6,10,14,24,8.75,29,43,1,1,6
"['100111', '110001', '111100', '010011', '010111', '000001', '001110', '100010']",1,8,24,24,48,17.333333333333332,84,79,1,1,8
"['000100', '010101', '011111', '110111', '001001', '011110', '010111', '101011']",1,8,20,28,48,18.0,70,80,1,1,8
"['1111100', '1000101', '0100011', '0001111', '0111010']",1,5,16,19,35,6.142857142857142,37,25,1,1,5
"['11001', '01100', '00001', '10000', '11111', '01111', '11011', '10111', '10001', '10011']",1,10,21,29,50,26.6,106,167,1,1,10
"['0000', '1001', '0011', '1100', '0110', '0100', '0111']",1,7,16,12,28,12.5,44,59,1,1,7
"['0010100', '1000011', '0000011', '1100111', '1101101', '0101111', '0111011', '0111100', '0001010', '1100000']",1,10,35,35,70,27.142857142857142,156,147,1,1,10
"['11000', '01111', '10111', '11110', '00101', '00100']",1,6,13,17,30,8.2,41,45,1,1,6
"['1111101', '0100000', '0011000', '0000110', '0100111', '0010101', '0111100', '0110100']",1,8,31,25,56,16.857142857142858,88,105,1,1,8
"['1111101', '0000010', '1111100', '1101111', '0100011', '0011100', '0001010', '0100001', '1100010']",1,9,32,31,63,20.428571428571427,127,117,1,1,9
"['110110', '000010', '101010', '101100', '100000', '111011', '001101']",1,7,22,20,42,12.5,57,58,1,1,7
"['0001', '0101', '0110']",1,3,7,5,12,1.75,6,8,1,1,3
"['11000', '11001', '01100', '01011', '01000', '10111', '11110', '01001', '00111']",1,9,21,24,45,22.2,89,110,1,1,9
"['010100', '101000', '100010']",1,3,12,6,18,2.0,7,8,1,1,3
"['01101', '10011', '11001', '10111', '01010', '00000', '11010']",1,7,17,18,35,13.0,52,51,1,1,7
"['1010111', '0011011', '0000110', '0001001', '1001010', '0001111', '1101111', '0100111', '1000110']",1,9,30,33,63,24.857142857142858,98,114,1,1,9
"['1111', '0101', '1100', '0000']",1,4,8,8,16,2.5,14,14,1,1,4
"['1111101', '0001011', '0100011', '1100111', '0111001', '0110000', '1111001', '0101010', '1101001']",1,9,28,35,63,23.142857142857142,109,120,1,1,9
"['0011', '1100', '1010', '0110', '1111', '1000', '0101']",1,7,13,15,28,12.25,46,51,1,1,7
"['1001001', '0011100', '1000010', '1100001', '0110100']",1,5,21,14,35,6.714285714285714,31,23,1,1,5
"['111000', '100111', '110001', '001010', '000111', '000101', '110111', '011000', '101110', '010100']",1,10,30,30,60,28.666666666666668,134,137,1,1,10
"['00110', '00010', '10010', '10100', '00100']",1,5,17,8,25,7.2,17,44,1,1,5
"['1000001', '1001001', '1011000', '1011011', '1101111', '1111111', '0110100']",1,7,20,29,49,12.142857142857142,62,77,1,1,7
"['1111', '0011', '1011', '1101']",1,4,4,12,16,3.75,10,28,1,1,4
"['0101010', '1001110', '0000000', '1101001']",1,4,17,11,28,3.142857142857143,21,11,1,1,4
"['00110', '00100', '11000', '11001']",1,4,12,8,20,4.0,16,19,1,1,4
"['0000', '0001', '0010', '0111', '1000', '0101', '1011']",1,7,17,11,28,12.25,42,58,1,1,7
"['1010', '1101', '1110', '1001', '0111']",1,5,7,13,20,6.5,21,29,1,1,5
"['01101', '11100', '01010', '11001']",1,4,9,11,20,4.0,14,13,1,1,4
"['0001', '1010', '0010', '1101', '0110', '0100', '1001', '0111']",1,8,17,15,32,17.75,56,69,1,1,8
"['0000', '0001', '1010', '1101', '1111', '0111', '1000', '1011']",1,8,15,17,32,14.75,60,82,1,1,8
"['011011', '110001', '011010', '111110', '000101', '101000']",1,6,17,19,36,8.833333333333334,46,39,1,1,6
"['101101', '110010', '101010', '000000', '111001', '100011', '001100', '101111', '010010']",1,9,28,26,54,22.5,100,96,1,1,9
"['01101', '10010', '10101', '00000', '10111', '11110', '00101', '00100']",1,8,21,19,40,16.4,64,76,1,1,8
"['011101', '010111', '101110', '101101']",1,4,8,16,24,4.833333333333334,12,19,1,1,4
"['0000', '0011', '0001', '1101', '1001', '1000', '0101', '0111', '1011']",1,9,19,17,36,21.75,69,106,1,1,9
"['1011010', '0110100', '1111110', '0110001']",1,4,12,16,28,3.8571428571428568,17,16,1,1,4
"['000100', '010110', '011111', '011100', '100000', '001101']",1,6,20,16,36,8.666666666666666,42,52,1,1,6
"['1011100', '1011111', '1111110', '0100011', '1000101', '1101110', '0110000', '0010111']",1,8,23,33,56,17.142857142857142,93,82,1,1,8
"['0001', '1000', '0101', '1011']",1,4,9,7,16,3.5,12,16,1,1,4
"['100001', '010111', '110010']",1,3,9,9,18,1.6666666666666665,10,7,1,1,3
"['1001', '1111', '1110', '1010']",1,4,5,11,16,3.5,11,20,1,1,4
"['1100', '1010', '1110', '0100', '1001', '0101', '1011']",1,7,13,15,28,13.75,40,53,1,1,7
"['0000', '0001', '1111', '1001', '1000', '0101']",1,6,14,10,24,8.0,30,44,1,1,6
"['0111', '1110', '1101']",1,3,3,9,12,2.0,6,10,1,1,3
"['011110', '001001', '010100', '111010', '001111', '101011']",1,6,16,20,36,9.666666666666666,41,38,1,1,6
"['011011', '100001', '101100', '110000']",1,4,13,11,24,3.5,19,15,1,1,4
"['110111', '010011', '110011', '010010', '101011']",1,5,12,18,30,7.5,19,43,1,1,5
"['0000', '0011', '1010', '0010', '1101', '1111', '0100', '0111', '1000']",1,9,19,17,36,19.5,77,100,1,1,9
"['11000', '00010', '11111', '01010', '10001']",1,5,13,12,25,5.2,26,22,1,1,5
"['1111001', '1011110', '1011101', '0111100']",1,4,9,19,28,4.857142857142857,14,15,1,1,4
"['0001', '0010', '0101', '0011']",1,4,10,6,16,4.25,9,17,1,1,4
"['0011', '0001', '1100', '0010', '1101', '0110', '0111', '1000', '1011']",1,9,18,18,36,22.25,77,97,1,1,9
"['100001', '110110', '100011', '001011', '010111']",1,5,14,16,30,6.5,27,32,1,1,5
"['10011', '00111', '00010', '01111', '11101', '00000', '01000', '11010']",1,8,21,19,40,15.0,74,82,1,1,8
"['10011', '10110', '00010', '01111', '11101', '10101', '10001', '00101', '10000']",1,9,22,23,45,22.6,84,110,1,1,9
"['010110', '100111', '011100', '011101', '100010']",1,5,14,16,30,6.333333333333333,28,27,1,1,5
"['100100', '000010', '111100', '000000', '011110', '111011', '001110']",1,7,23,19,42,11.666666666666666,65,73,1,1,7
"['0000', '0010', '0110', '1110', '0101']",1,5,12,8,20,6.0,19,33,1,1,5
"['0000', '1101', '0110', '1110', '1001', '0111', '1011']",1,7,12,16,28,12.25,45,51,1,1,7
"['01101', '11001', '01100', '11110', '01000', '11100', '11010']",1,7,16,19,35,14.6,40,60,1,1,7
"['1100', '1010', '1101', '1110', '0101', '1011']",1,6,9,15,24,10.0,27,44,1,1,6
"['110101', '001110', '111100']",1,3,7,11,18,1.8333333333333333,9,6,1,1,3
"['10010', '01010', '00011', '01001', '11100', '10000']",1,6,18,12,30,9.6,38,41,1,1,6
"['1001101', '0010111', '1101100', '0100011']",1,4,13,15,28,3.857142857142857,20,16,1,1,4
"['011100', '011011', '111110', '111001', '001000', '000000', '011101', '100100']",1,8,25,23,48,15.666666666666666,80,85,1,1,8
"['0011', '0010', '1110', '1001', '1011']",1,5,9,11,20,6.25,19,26,1,1,5
"['0000111', '0011000', '0000001', '0001001', '1110110', '0110001', '0010110', '1001110', '0110111']",1,9,35,28,63,22.142857142857142,116,121,1,1,9
"['001010', '110000', '100011', '011101', '110101', '111010', '100000', '101011']",1,8,24,24,48,17.666666666666668,76,83,1,1,8
"['1100100', '0111011', '1101111', '0010001']",1,4,12,16,28,3.571428571428571,22,19,1,1,4
"['11000', '01011', '11111', '11101', '10101', '00011', '11110', '00111']",1,8,14,26,40,16.4,70,107,1,1,8
"['011001', '100100', '100110']",1,3,10,8,18,2.1666666666666665,8,9,1,1,3
"['0011', '1001', '0001', '1100', '0010', '1111', '0100', '0111']",1,8,16,16,32,16.25,60,78,1,1,8
"['0001', '0010', '1101', '1110', '1001', '0101']",1,6,12,12,24,9.25,31,39,1,1,6
"['1000011', '1000100', '0011110', '0110100', '1100001', '0001000', '0101100']",1,7,30,19,49,13.285714285714285,71,63,1,1,7
"['000111', '011110', '101010', '100011']",1,4,11,13,24,3.833333333333333,18,13,1,1,4
"['0011111', '0001101', '0010011', '0010000']",1,4,16,12,28,3.7142857142857144,17,28,1,1,4
"['0101000', '0011000', '1111110', '1001101', '0011011', '0100111', '0100011', '0001000', '0110111']",1,9,32,31,63,22.142857142857142,115,122,1,1,9
"['101101', '010101', '011111', '011100', '101100', '001000', '001001', '111011', '000010', '101000']",1,10,31,29,60,27.333333333333332,122,136,1,1,10
"['0111110', '0001011', '1110011', '1011110', '1000011', '0001101', '1000100', '1011001', '0111100', '0101010']",1,10,33,37,70,28.142857142857142,151,125,1,1,10
"['01110', '01100', '00100', '01111', '11101', '11110', '01001', '11100', '10100', '00111']",1,10,22,28,50,29.6,98,149,1,1,10
"['1111010', '1110100', '0001101', '0001100', '0011011', '0101101', '1101010', '1110001', '0110001', '0101011']",1,10,33,37,70,30.428571428571427,140,144,1,1,10
"['0101001', '0000001', '1110101', '0111111']",1,4,13,15,28,3.142857142857143,20,19,1,1,4
"['111111', '010101', '110001', '100110', '000000', '100011', '001001', '011000', '001110']",1,9,29,25,54,20.5,109,92,1,1,9
"['1100', '0010', '1101', '1111', '1110', '0100', '0111', '0101']",1,8,13,19,32,17.0,53,83,1,1,8
"['00110', '11000', '01101', '10010', '01001', '00000', '10001', '00101', '10100', '01110']",1,10,30,20,50,28.2,106,127,1,1,10
"['1001001', '0001011', '1101111', '1000101', '0000001', '1111000', '0110011', '0000100']",1,8,31,25,56,16.714285714285715,91,90,1,1,8
"['01101', '10000', '00111', '11010', '10010', '10101', '10111', '10001', '01001', '01110']",1,10,24,26,50,29.0,107,127,1,1,10
"['1001', '0011', '0001', '1100', '0010', '1101', '0110', '0111', '1000']",1,9,19,17,36,22.75,76,96,1,1,9
"['10011', '11111', '11011', '00011', '00000', '10101', '01001', '11010']",1,8,18,22,40,16.2,65,91,1,1,8
"['1010001', '0010100', '1011111', '0110000', '0110100']",1,5,19,16,35,6.428571428571429,30,29,1,1,5
"['101101', '010101', '011100', '101100', '001000', '010111', '101111', '000011', '100100']",1,9,27,27,54,22.833333333333332,98,111,1,1,9
"['0000', '0001', '1100', '0010', '1101', '0110', '0111', '0101', '1011']",1,9,19,17,36,21.5,73,95,1,1,9
"['1011000', '1011011', '1101000', '0011111', '0000101', '1000111', '1010011']",1,7,23,26,49,13.285714285714285,70,81,1,1,7
"['0101000', '1000101', '1110101', '0110001']",1,4,15,13,28,4.142857142857142,17,16,1,1,4
"['111000', '001010', '001000', '011110', '001001', '001100', '101000', '101011']",1,8,28,20,48,18.5,65,108,1,1,8
"['1011110', '1101111', '1110110', '0100100', '1011001', '1010101', '1100000', '1011101', '0000100']",1,9,29,34,63,23.142857142857142,112,109,1,1,9
"['0000', '0011', '0001', '1101', '1111', '1000', '0101']",1,7,15,13,28,11.0,44,63,1,1,7
"['11001', '10010', '11101', '11011', '10111', '01000', '10000']",1,7,16,19,35,13.0,48,64,1,1,7
"['011011', '101010', '001000', '011000', '001100', '110101', '111010']",1,7,22,20,42,14.333333333333334,51,62,1,1,7
"['100111', '010111', '111101', '001011']",1,4,8,16,24,4.0,16,24,1,1,4
"['1101011', '0111110', '1110101', '1101100', '0111011', '0001010', '0100001', '0001000', '0010111']",1,9,30,33,63,21.857142857142858,117,107,1,1,9
"['0000', '1001', '1111', '0111', '1011']",1,5,8,12,20,4.75,22,28,1,1,5
"['1111', '0101', '0000']",1,3,6,6,12,1.0,8,4,1,1,3
"['11000', '01001', '01010', '10011']",1,4,11,9,20,4.0,14,13,1,1,4
"['1101011', '1011000', '1011011', '0011111', '0101111', '0101010', '0010011']",1,7,20,29,49,14.0,59,71,1,1,7
"['01101', '01100', '11011', '01000', '01110']",1,5,12,13,25,6.8,20,31,1,1,5
"['0000', '0011', '1010', '0010', '1111', '1000', '0101']",1,7,16,12,28,11.75,43,57,1,1,7
"['11111', '00100', '11010']",1,3,6,9,15,1.4,9,6,1,1,3
"['1010', '1101', '0110', '1110', '0100', '1001', '0101', '0111']",1,8,14,18,32,18.5,53,73,1,1,8
"['0001', '1100', '0010', '1101', '1110', '0100', '0111', '1011']",1,8,15,17,32,16.25,61,74,1,1,8
"['10010', '00100', '11111', '01111', '10001', '00101', '10011']",1,7,16,19,35,12.4,51,63,1,1,7
"['0100010', '1011101', '0110001']",1,3,11,10,21,2.142857142857143,9,6,1,1,3
"['00011', '00000', '00010']",1,3,12,3,15,2.2,4,19,1,1,3
"['0110101', '0100111', '1101100', '0111101', '1011101']",1,5,13,22,35,6.571428571428571,26,33,1,1,5
"['1100', '1010', '0010', '0110', '1110', '0100', '0111', '0101']",1,8,16,16,32,18.25,50,86,1,1,8
"['00110', '11001', '00010', '10101', '00011', '00000', '01010', '00101', '11010']",1,9,27,18,45,23.8,81,110,1,1,9
"['01110', '01101', '11001', '10010', '01011', '00000', '11010']",1,7,18,17,35,12.6,50,53,1,1,7
"['1100', '0010', '1110', '1111', '1000', '1011']",1,6,10,14,24,8.0,30,44,1,1,6
"['000001', '100110', '111100', '001011']",1,4,13,11,24,2.833333333333333,22,16,1,1,4
"['11000', '11001', '11111', '01111', '11100']",1,5,8,17,25,6.4,22,46,1,1,5
"['0011', '1100', '1010', '1101', '1111', '0100', '1001', '1000', '0111']",1,9,16,20,36,21.75,75,102,1,1,9
"['0000', '0001', '1100', '1101', '1110']",1,5,11,9,20,5.25,22,30,1,1,5
"['0000', '0011', '1100', '0010', '1101', '0100', '0111', '1000', '0101', '1011']",1,10,22,18,40,26.5,94,129,1,1,10
"['000110', '010100', '010111', '001100', '110011', '111011', '011000', '101000']",1,8,25,23,48,18.166666666666668,80,88,1,1,8
"['0000', '0001', '1100', '0010', '0110', '1111', '1001', '1011']",1,8,17,15,32,15.25,60,70,1,1,8
"['100111', '011100', '000000', '001000', '000110', '100101', '010000', '001101', '010001', '001110']",1,10,38,22,60,29.333333333333332,116,162,1,1,10
"['0000', '0001', '1101', '0111', '1000', '1011']",1,6,13,11,24,8.0,33,43,1,1,6
"['00110', '11001', '00111', '00010', '11101', '00011', '00000', '10101', '00101', '10011']",1,10,27,23,50,29.0,103,139,1,1,10
"['0100100', '0010001', '1100111']",1,3,12,9,21,1.8571428571428572,10,5,1,1,3
"['010110', '100111', '110001', '111110', '101100', '110111', '010100', '001100']",1,8,21,27,48,18.0,74,80,1,1,8
"['0011010', '1010011', '0111100', '0000011', '1101001']",1,5,18,17,35,6.285714285714286,35,24,1,1,5
"['0001', '1100', '1010', '0010', '1101', '1111', '1110', '1001', '1000', '0101']",1,10,19,21,40,27.25,89,125,1,1,10
"['11011', '00010', '10000']",1,3,9,6,15,1.6,8,6,1,1,3
"['010110', '101010', '101100', '111100', '001000', '010111']",1,6,18,18,36,10.166666666666666,38,48,1,1,6
"['0000', '1010', '1101', '1110', '0101', '1011']",1,6,11,13,24,8.5,31,36,1,1,6
"['01100', '11010', '00010', '01010', '10001', '01001', '10000']",1,7,22,13,35,14.4,47,62,1,1,7
"['0000', '1100', '1010', '1101', '0110', '0100', '1001']",1,7,16,12,28,13.25,39,50,1,1,7
"['00101', '10101', '10100']",1,3,8,7,15,2.2,4,13,1,1,3
"['0100000', '0110101', '0111000', '1001011', '1001101', '0001100', '0000110', '1111100', '1000110', '0101110']",1,10,38,32,70,28.857142857142858,144,142,1,1,10
"['11001', '10010', '11011', '00011', '11110', '01000', '11100']",1,7,16,19,35,12.6,52,62,1,1,7
"['0011', '1010', '0010', '1101', '0100', '0111']",1,6,12,12,24,9.25,31,38,1,1,6
"['11000', '00110', '10010', '01011', '11011', '00000', '10000']",1,7,21,14,35,12.8,50,67,1,1,7
"['110110', '111111', '111010', '001101', '001111']",1,5,9,21,30,6.666666666666666,26,40,1,1,5
"['1110101', '1101000', '0001100', '1111111', '1101111', '0100011', '1001010', '0111011', '0101110', '1111000']",1,10,28,42,70,27.285714285714285,144,151,1,1,10
"['1101101', '0000111', '0000011', '0100010']",1,4,16,12,28,3.857142857142857,19,16,1,1,4
"['101101', '011011', '111001', '010100', '010111']",1,5,12,18,30,7.166666666666667,25,28,1,1,5
"['011101', '111100', '111111']",1,3,4,14,18,2.0,6,12,1,1,3
"['101101', '011011', '100110', '101001', '100101', '001011', '010000', '010010', '000010', '100010']",1,10,34,26,60,31.166666666666668,108,129,1,1,10
"['00', '110', '11']",1,3,3,4,7,1.2000000000000002,5,6,0,1,2
"['01011', '0101101']",1,2,5,7,12,0.8333333333333334,2,6,0,1,0
